state_id,algorithm,score,fraction_used_connections,number_routes,total_minutes,is_solution,sleeper_string
10476,random_algorithm_2,8438.0,1.0,7,862.0,True,8438.0	1.0	7	862.0	False;False;True	train_1:Rotterdam Alexander>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_2:Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Den Haag Centraal>Gouda>Rotterdam Alexander>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal;train_3:Alkmaar>Hoorn>Zaandam>Beverwijk>Castricum>Alkmaar>Castricum>Zaandam>Castricum>Alkmaar;train_4:Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Zaandam>Hoorn>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal;train_5:Amsterdam Zuid>Amsterdam Sloterdijk>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk;train_6:Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Heemstede-Aerdenhout>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht;train_7:Amsterdam Sloterdijk>Haarlem>Beverwijk>Zaandam>Castricum>Alkmaar>Den Helder
10758,random_algorithm_2,8381.0,1.0,7,919.0,True,8381.0	1.0	7	919.0	False;False;True	train_1:Rotterdam Alexander>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout;train_2:Alkmaar>Den Helder>Alkmaar>Hoorn>Zaandam>Hoorn;train_3:Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Amsterdam Sloterdijk>Zaandam>Castricum>Alkmaar;train_4:Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal>Delft>Den Haag Centraal>Gouda>Den Haag Centraal>Gouda;train_5:Zaandam>Beverwijk>Castricum>Alkmaar>Den Helder>Alkmaar>Castricum>Zaandam;train_6:Delft>Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem;train_7:Heemstede-Aerdenhout>Haarlem>Beverwijk>Castricum>Alkmaar>Den Helder>Alkmaar
13854,random_algorithm_2,8439.0,1.0,7,861.0,True,8439.0	1.0	7	861.0	False;False;True	train_1:Den Haag Centraal>Gouda>Den Haag Centraal>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda;train_2:Gouda>Alphen a/d Rijn>Gouda>Alphen a/d Rijn>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid;train_3:Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Hoorn>Alkmaar;train_4:Beverwijk>Castricum>Beverwijk>Zaandam>Amsterdam Sloterdijk>Haarlem>Beverwijk>Castricum>Zaandam;train_5:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Delft>Den Haag Centraal>Gouda>Rotterdam Alexander>Gouda>Den Haag Centraal>Leiden Centraal;train_6:Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Heemstede-Aerdenhout;train_7:Beverwijk>Castricum>Alkmaar>Hoorn>Alkmaar>Den Helder
14884,random_algorithm_2,8436.0,1.0,7,864.0,True,8436.0	1.0	7	864.0	False;False;True	train_1:Delft>Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Gouda>Rotterdam Alexander>Gouda>Alphen a/d Rijn;train_2:Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Heemstede-Aerdenhout>Leiden Centraal>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Zaandam>Castricum;train_3:Haarlem>Beverwijk>Castricum>Beverwijk>Zaandam>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk;train_4:Alkmaar>Hoorn>Alkmaar>Den Helder>Alkmaar;train_5:Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum>Delft>Schiedam Centrum>Rotterdam Centraal>Schiedam Centrum>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht;train_6:Rotterdam Alexander>Gouda>Rotterdam Alexander>Gouda>Rotterdam Alexander>Rotterdam Centraal>Rotterdam Alexander>Rotterdam Centraal>Rotterdam Alexander>Rotterdam Centraal>Rotterdam Alexander>Gouda>Rotterdam Alexander>Gouda>Rotterdam Alexander;train_7:Alkmaar>Hoorn>Zaandam>Hoorn>Zaandam>Castricum>Alkmaar
17045,random_algorithm_2,8383.0,1.0,7,917.0,True,8383.0	1.0	7	917.0	False;False;True	train_1:Beverwijk>Castricum>Alkmaar>Den Helder>Alkmaar>Hoorn;train_2:Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Gouda>Rotterdam Alexander>Gouda>Rotterdam Alexander>Gouda>Alphen a/d Rijn>Gouda;train_3:Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam>Castricum>Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal;train_4:Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Schiphol Airport>Amsterdam Zuid;train_5:Gouda>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum>Delft>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout;train_6:Alkmaar>Den Helder>Alkmaar>Hoorn>Alkmaar>Hoorn;train_7:Zaandam>Hoorn>Zaandam>Beverwijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk
17289,random_algorithm_2,8445.0,1.0,7,855.0,True,8445.0	1.0	7	855.0	False;False;True	train_1:Rotterdam Centraal>Schiedam Centrum>Delft>Schiedam Centrum>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Rotterdam Alexander>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport;train_2:Gouda>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal>Rotterdam Alexander>Gouda>Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal;train_3:Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Zaandam>Beverwijk>Haarlem>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Haarlem;train_4:Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem;train_5:Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Zaandam>Hoorn;train_6:Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum>Delft>Schiedam Centrum>Delft;train_7:Zaandam>Castricum>Beverwijk>Castricum>Alkmaar>Hoorn>Alkmaar>Den Helder
18117,random_algorithm_2,8636.0,1.0,6,764.0,True,8636.0	1.0	6	764.0	False;False;True	train_1:Beverwijk>Castricum>Alkmaar>Hoorn>Zaandam>Amsterdam Sloterdijk>Zaandam>Amsterdam Sloterdijk>Zaandam>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem;train_2:Castricum>Alkmaar>Den Helder>Alkmaar>Castricum>Zaandam>Hoorn;train_3:Amsterdam Zuid>Schiphol Airport>Leiden Centraal>Den Haag Centraal>Delft>Schiedam Centrum>Rotterdam Centraal>Rotterdam Alexander>Gouda>Rotterdam Alexander>Rotterdam Centraal>Schiedam Centrum>Rotterdam Centraal>Dordrecht;train_4:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk;train_5:Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Alphen a/d Rijn>Gouda>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout;train_6:Zaandam>Hoorn>Alkmaar>Castricum>Zaandam>Castricum>Zaandam>Beverwijk>Haarlem>Heemstede-Aerdenhout
18123,random_algorithm_2,8410.0,1.0,7,890.0,True,8410.0	1.0	7	890.0	False;False;True	train_1:Den Haag Centraal>Gouda>Alphen a/d Rijn>Gouda>Rotterdam Alexander>Rotterdam Centraal>Rotterdam Alexander>Gouda>Alphen a/d Rijn>Gouda;train_2:Leiden Centraal>Alphen a/d Rijn>Gouda>Alphen a/d Rijn>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Haarlem>Heemstede-Aerdenhout>Haarlem;train_3:Den Haag Centraal>Gouda>Den Haag Centraal>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Haarlem>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Amstel;train_4:Castricum>Alkmaar>Den Helder>Alkmaar>Castricum>Beverwijk>Haarlem;train_5:Amsterdam Zuid>Amsterdam Sloterdijk>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Beverwijk>Zaandam>Castricum>Zaandam>Castricum>Alkmaar;train_6:Amsterdam Sloterdijk>Haarlem>Beverwijk>Haarlem>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk>Zaandam>Hoorn>Alkmaar;train_7:Dordrecht>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Leiden Centraal>Heemstede-Aerdenhout>Leiden Centraal>Alphen a/d Rijn
18456,random_algorithm_2,8421.0,1.0,7,879.0,True,8421.0	1.0	7	879.0	False;False;True	train_1:Rotterdam Centraal>Rotterdam Alexander>Rotterdam Centraal>Dordrecht>Rotterdam Centraal>Schiedam Centrum>Delft>Den Haag Centraal>Gouda>Rotterdam Alexander>Rotterdam Centraal;train_2:Rotterdam Centraal>Rotterdam Alexander>Gouda>Alphen a/d Rijn>Gouda>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid>Schiphol Airport>Amsterdam Zuid;train_3:Amsterdam Zuid>Schiphol Airport>Amsterdam Zuid>Amsterdam Sloterdijk>Zaandam>Castricum>Beverwijk>Haarlem>Heemstede-Aerdenhout>Leiden Centraal>Heemstede-Aerdenhout>Haarlem>Amsterdam Sloterdijk;train_4:Leiden Centraal>Schiphol Airport>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Den Haag Centraal>Leiden Centraal>Alphen a/d Rijn>Leiden Centraal>Schiphol Airport>Amsterdam Zuid;train_5:Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Zuid>Amsterdam Amstel>Amsterdam Centraal>Amsterdam Sloterdijk>Zaandam>Hoorn>Zaandam>Castricum;train_6:Alkmaar>Den Helder>Alkmaar>Castricum>Alkmaar>Castricum>Beverwijk>Castricum>Beverwijk;train_7:Beverwijk>Castricum>Alkmaar>Hoorn>Alkmaar>Castricum>Beverwijk>Zaandam>Castricum
